Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Discovering Biomedicine,BIOM10001,https://handbook.unimelb.edu.au/2024/subjects/biom10001,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Executive Management 3,BUSA90507,https://handbook.unimelb.edu.au/2024/subjects/busa90507,Graduate coursework,25 credit points,"Offered August, 2024"
Earth Sciences Research Project Pt1,ERTH90035,https://handbook.unimelb.edu.au/2024/subjects/erth90035,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Geography Research Project Part 1,GEOG90036,https://handbook.unimelb.edu.au/2024/subjects/geog90036,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Health Innovation & Improvement Project,NURS90002,https://handbook.unimelb.edu.au/2024/subjects/nurs90002,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
BioSciences Research Project Part 1,BIOL90007,https://handbook.unimelb.edu.au/2024/subjects/biol90007,Graduate coursework,50 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Special Topics in Early-Modern Art,AHIS40025,https://handbook.unimelb.edu.au/2024/subjects/ahis40025,Honours,12.5 credit points,"Offered Semester 2, 2024"
Ecosystem & Forest Science Research Pt2,ENST40007,https://handbook.unimelb.edu.au/2024/subjects/enst40007,Honours,50 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Applied Risk Management,FNCE90082,https://handbook.unimelb.edu.au/2024/subjects/fnce90082,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Research Project in Comp Biology Pt2,SCIE90022,https://handbook.unimelb.edu.au/2024/subjects/scie90022,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Generating the Wealth of Nations,ECON20013,https://handbook.unimelb.edu.au/2024/subjects/econ20013,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Bioinformatics Research Project Pt 2,BINF90014,https://handbook.unimelb.edu.au/2024/subjects/binf90014,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Musical Perspectives,MUSI10230,https://handbook.unimelb.edu.au/2024/subjects/musi10230,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Physics Research Project Pt1,PHYC40009,https://handbook.unimelb.edu.au/2024/subjects/phyc40009,Undergraduate Level 4,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Agricultural Genetics,AGRI10052,https://handbook.unimelb.edu.au/2024/subjects/agri10052,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
Criminology Thesis Part 1,CRIM40008,https://handbook.unimelb.edu.au/2024/subjects/crim40008,Honours,25 credit points,"Offered Semester 1, 2024"
Monetary Economics,ECON90011,https://handbook.unimelb.edu.au/2024/subjects/econ90011,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
French Thesis Part 1,FREN40010,https://handbook.unimelb.edu.au/2024/subjects/fren40010,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Advanced Hydrological Solutions,ENEN90039,https://handbook.unimelb.edu.au/2024/subjects/enen90039,Graduate coursework,12.5 credit points,Not offered in 2024
Economic Design,ECON40006,https://handbook.unimelb.edu.au/2024/subjects/econ40006,Honours,12.5 credit points,Not offered in 2024
Regional Anaesthesia - Practical,MEDI90139,https://handbook.unimelb.edu.au/2024/subjects/medi90139,Graduate coursework,6.25 credit points,Not offered in 2024
Research and Evidence 1,PHTY90094,https://handbook.unimelb.edu.au/2024/subjects/phty90094,Graduate coursework,6.25 credit points,"Offered Semester 1 (Early-Start), 2024"
Financial Accounting Research,ACCT90019,https://handbook.unimelb.edu.au/2024/subjects/acct90019,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Particle Physics,PHYC90011,https://handbook.unimelb.edu.au/2024/subjects/phyc90011,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Study Design in Clinical Research,CLRS90011,https://handbook.unimelb.edu.au/2024/subjects/clrs90011,Graduate coursework,12.5 credit points,"Offered March, 2024"
Property Research and Analysis,ABPL90363,https://handbook.unimelb.edu.au/2024/subjects/abpl90363,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
BioSciences Research Project Pt 4(Cont.),BIOL90034,https://handbook.unimelb.edu.au/2024/subjects/biol90034,Graduate coursework,37.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Animal Disease Biotechnology 2,ANSC30002,https://handbook.unimelb.edu.au/2024/subjects/ansc30002,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Energy Systems Project,ENGR90031,https://handbook.unimelb.edu.au/2024/subjects/engr90031,Graduate coursework,25 credit points,"Offered Semester 1, Semester 2, 2024"
Aerospace Dynamics and Control,MCEN90045,https://handbook.unimelb.edu.au/2024/subjects/mcen90045,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Clinical Placement 1,PSYC90012,https://handbook.unimelb.edu.au/2024/subjects/psyc90012,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
Lean Construction,ABPL90414,https://handbook.unimelb.edu.au/2024/subjects/abpl90414,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
