Course Code,Major/Minor Name,URL
BH-SCIADV,Pharmacology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-36/print
BH-SCIADV,Physics,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-37/print
BH-SCIADV,Physiology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-38/print
BH-SCIADV,Plant Science,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-39/print
BH-SCIADV,Psychology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-40/print
BH-SCIADV,Veterinary Bioscience,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-41/print
BH-SCIADV,Zoology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-42/print
BH-SCIADV,Biochemistry and Molecular Biology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-4/print
BH-SCIADV,Agricultural Science,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-1/print
BH-SCIADV,Cell and Developmental Biology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-7/print
BH-SCIADV,Computing and Software Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-12/print
BH-SCIADV,Biotechnology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-6/print
BH-SCIADV,Electrical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-17/print
BH-SCIADV,Biomedical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-5/print
BH-SCIADV,Genetics,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-21/print
BH-SCIADV,Human Nutrition,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-24/print
BH-SCIADV,Human Structure and Function,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-25/print
BH-SCIADV,Marine Biology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-28/print
BH-SCIADV,Mathematical Physics,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-29/print
MC-ENVENG,Earth Observation,https://handbook.unimelb.edu.au/2024/components/mc-enveng-spec-01/print
MC-ENVENG,Energy Systems,https://handbook.unimelb.edu.au/2024/components/mc-enveng-spec-02/print
MC-ENVENG,Water Systems,https://handbook.unimelb.edu.au/2024/components/mc-enveng-spec-03/print
175AA,200pt Program,https://handbook.unimelb.edu.au/2024/components/175aa-entry-3/print
175AA,150pt Program,https://handbook.unimelb.edu.au/2024/components/175aa-entry-2/print
175AA,100pt Program,https://handbook.unimelb.edu.au/2024/components/175aa-entry-1/print
MC-AGSC,200pt Program,https://handbook.unimelb.edu.au/2024/components/mc-agsc-entry-4/print
MC-AGSC,150pt Program,https://handbook.unimelb.edu.au/2024/components/mc-agsc-entry-3/print
MC-AGSC,100pt (A) Program,https://handbook.unimelb.edu.au/2024/components/mc-agsc-entry-2/print
MC-AGSC,100pt (B) Program,https://handbook.unimelb.edu.au/2024/components/mc-agsc-entry-1/print
GC-CCN,Integrated Critical Care,https://handbook.unimelb.edu.au/2024/components/gc-ccn-spec-01/print
GC-CCN,Intensive Care,https://handbook.unimelb.edu.au/2024/components/gc-ccn-spec-02/print
GC-ARTS,Anthropology,https://handbook.unimelb.edu.au/2024/components/gc-arts-spec-1/print
GC-ARTS,Art History,https://handbook.unimelb.edu.au/2024/components/gc-arts-spec-2/print
GC-ARTS,Asian Studies,https://handbook.unimelb.edu.au/2024/components/gc-arts-spec-3/print
